transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000003,2912,586,78.59,USD,approved,2025-09-29 20:09:20,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,112.237.226.40,Mozilla/5.0 (Windows NT 10.0; an-ES; rv:1.9.2.20) Gecko/5093-08-16 14:53:15 Firefox/15.0,1,2010,,1,other,True,2025-10-01
TXN00000005,8637,677,30.44,CLP,approved,2025-08-08 17:54:25,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,192.19.207.244,API/1.0,1,1920,,1,entertainment,False,2025-08-09
TXN00000007,4426,940,22.24,COP,approved,2025-09-08 16:17:53,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,167.139.40.151,Opera/8.59.(X11; Linux x86_64; hu-HU) Presto/2.9.166 Version/12.00,1,602,True,1,services,False,2025-09-10
TXN00000008,8087,354,20.61,BRL,approved,2025-08-28 13:51:33,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,16.227.200.14,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.0),1,2856,True,1,utilities,False,2025-08-29
TXN00000010,4502,636,20.96,COP,approved,2025-09-18 22:31:42,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,11.84.120.223,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/17.4g1279.0 Mobile/68D772 Safari/531.2",1,2226,,1,food_beverage,False,2025-09-19
TXN00000015,2737,996,27.37,MXN,approved,2025-09-03 12:00:51,credit_card,Diners Club,MX,00,Transaction approved,3.43,0.94,26.43,mobile,31.133.116.63,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_4 rv:2.0; ia-FR) AppleWebKit/531.23.5 (KHTML, like Gecko) Version/5.0.1 Safari/531.23.5",1,2634,True,1,tech,False,2025-09-05
TXN00000016,685,247,67.09,COP,approved,2025-10-23 17:10:39,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,41.62.168.45,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/3.1),1,1399,,1,services,False,2025-10-25
TXN00000017,475,694,126.95,BRL,approved,2025-10-24 13:09:35,credit_card,Visa,BR,00,Transaction approved,2.89,3.67,123.28,desktop,57.255.242.174,Opera/9.12.(Windows NT 6.0; cy-GB) Presto/2.9.169 Version/12.00,1,1183,True,1,entertainment,False,2025-10-26
TXN00000018,5641,124,61.49,COP,approved,2025-10-09 18:35:51,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,85.24.245.196,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1),1,1372,True,6,tech,False,2025-10-11
TXN00000020,9312,939,107.48,CLP,approved,2025-08-22 13:01:04,bank_transfer,TEF,CL,00,Transaction approved,1.98,2.13,105.35,desktop,205.177.105.160,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/36.0.882.0 Mobile/70U168 Safari/534.1",1,1472,,1,retail,False,2025-08-23
TXN00000022,7051,428,73.21,CLP,approved,2025-08-31 12:27:55,credit_card,Mastercard,CL,00,Transaction approved,2.97,2.17,71.04,mobile,59.120.63.157,Opera/9.73.(X11; Linux i686; mi-NZ) Presto/2.9.186 Version/12.00,1,2816,True,1,other,False,2025-09-01
TXN00000023,4360,267,108.13,COP,approved,2025-10-21 19:39:12,credit_card,Mastercard,CO,00,Transaction approved,3.08,3.33,104.8,desktop,204.125.227.210,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.1),1,828,True,1,travel,False,2025-10-23
TXN00000024,1391,961,75.71,USD,approved,2025-09-12 21:31:46,ewallet,Clip,CL,00,Transaction approved,3.67,2.78,72.93,mobile,179.151.26.168,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0),1,906,,1,services,True,2025-09-14
TXN00000025,2047,285,139.19,USD,approved,2025-08-16 23:34:56,bank_transfer,SPEI,MX,00,Transaction approved,1.0,1.39,137.8,mobile,145.233.34.37,Opera/9.94.(X11; Linux x86_64; tn-ZA) Presto/2.9.166 Version/11.00,1,2641,,1,services,True,2025-08-18
TXN00000026,2477,605,18.45,MXN,approved,2025-08-07 12:09:33,credit_card,Mastercard,MX,00,Transaction approved,3.1,0.57,17.88,desktop,157.47.43.72,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.25.3 (KHTML, like Gecko) Version/4.0.2 Safari/531.25.3",1,1163,True,1,services,False,2025-08-09
TXN00000027,1102,262,3.36,BRL,approved,2025-09-02 06:53:56,credit_card,American Express,BR,00,Transaction approved,3.07,0.1,3.26,mobile,173.140.119.243,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_6 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/10.3y0014.0 Mobile/97P426 Safari/534.1",1,1446,True,1,utilities,False,2025-09-04
TXN00000028,5050,719,17.43,BRL,approved,2025-10-01 17:01:12,bank_transfer,SPEI,BR,00,Transaction approved,1.13,0.2,17.23,mobile,63.43.232.25,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/17.0.830.0 Safari/531.2",1,2979,,1,entertainment,False,2025-10-03
TXN00000029,819,147,58.98,CLP,approved,2025-08-21 16:54:23,ewallet,Rappi Pay,CL,00,Transaction approved,4.22,2.49,56.49,tablet,207.40.86.186,Opera/9.15.(X11; Linux i686; tl-PH) Presto/2.9.180 Version/10.00,1,1135,,1,utilities,False,2025-08-22
TXN00000030,1157,619,57.01,MXN,approved,2025-10-22 17:35:36,debit_card,Visa Debit,MX,00,Transaction approved,3.33,1.9,55.11,mobile,66.143.72.236,Opera/8.33.(Windows NT 6.2; csb-PL) Presto/2.9.161 Version/11.00,1,2337,True,1,retail,False,2025-10-23
TXN00000031,6377,123,6.59,USD,approved,2025-10-15 08:31:04,ewallet,PayPal,BR,00,Transaction approved,4.29,0.28,6.31,mobile,,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),1,405,,1,travel,True,2025-10-17
TXN00000034,657,841,7.35,BRL,approved,2025-08-27 13:58:12,debit_card,Visa Debit,BR,00,Transaction approved,3.37,0.25,7.1,mobile,142.74.68.40,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/48.0.832.0 Mobile/54Y423 Safari/532.2",1,1258,False,1,other,False,2025-08-28
TXN00000035,8341,75,25.07,BRL,approved,2025-08-23 22:12:02,bank_transfer,PIX,BR,00,Transaction approved,1.08,0.27,24.8,desktop,97.63.202.28,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3215-10-28 01:10:57 Firefox/3.8,1,2868,,1,other,False,2025-08-24
TXN00000037,9745,978,30.98,ARS,approved,2025-08-17 15:37:32,bank_transfer,SPEI,AR,00,Transaction approved,1.04,0.32,30.66,mobile,126.211.34.100,Opera/9.43.(X11; Linux i686; xh-ZA) Presto/2.9.174 Version/10.00,1,239,,1,food_beverage,False,2025-08-19
TXN00000038,9075,842,4.55,MXN,approved,2025-09-22 11:33:55,debit_card,Mastercard Debit,MX,00,Transaction approved,2.76,0.13,4.42,mobile,74.249.145.30,Opera/9.56.(Windows 98; Win 9x 4.90; ia-FR) Presto/2.9.174 Version/11.00,1,2557,True,1,retail,False,2025-09-23
TXN00000040,4753,208,19.51,COP,approved,2025-10-03 06:05:33,credit_card,Diners Club,CO,00,Transaction approved,2.83,0.55,18.96,tablet,14.90.160.229,Opera/8.80.(Windows NT 11.0; nl-NL) Presto/2.9.179 Version/11.00,1,1837,True,1,utilities,False,2025-10-05
