transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-08-09 04:02:54,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,2.29.48.81,Opera/8.59.(Windows NT 6.0; aa-ET) Presto/2.9.160 Version/10.00,1,1491,True,1,retail,False,2025-08-11
TXN00000002,4754,465,14.29,MXN,approved,2025-09-11 02:16:39,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,16.102.88.117,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/36.0.885.0 Safari/531.0",1,2275,True,1,other,False,2025-09-12
TXN00000006,1380,918,24.15,MXN,approved,2025-09-11 02:42:27,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,32.37.244.86,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/62.0.807.0 Safari/533.1",1,2105,True,1,retail,False,2025-09-13
TXN00000009,2684,589,94.06,USD,approved,2025-08-28 00:03:52,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,56.74.79.70,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.1),1,1304,True,12,tech,True,2025-08-30
TXN00000011,3172,412,66.55,BRL,approved,2025-08-03 03:45:45,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,95.44.197.188,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/18.0.857.0 Safari/534.1",1,2885,False,1,services,False,2025-08-04
TXN00000012,6975,945,65.29,PEN,approved,2025-08-18 05:30:38,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,215.179.9.63,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/61.0.888.0 Safari/535.2",1,2210,False,6,food_beverage,False,2025-08-19
TXN00000013,8830,260,25.35,BRL,declined,2025-09-27 05:43:22,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,168.163.194.140,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/4.1),3,2618,,1,utilities,False,
TXN00000019,3821,602,140.6,COP,approved,2025-10-17 03:58:29,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,166.93.35.65,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0 rv:6.0; mi-NZ) AppleWebKit/533.10.6 (KHTML, like Gecko) Version/4.0.2 Safari/533.10.6",1,2482,True,12,travel,False,2025-10-19
TXN00000021,2120,926,7.16,BRL,approved,2025-10-11 04:33:45,bank_transfer,TEF,BR,00,Transaction approved,1.03,0.07,7.09,mobile,121.190.128.34,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/532.50.5 (KHTML, like Gecko) Version/4.0.2 Safari/532.50.5",1,2379,,1,utilities,False,2025-10-12
TXN00000032,8917,850,15.62,MXN,approved,2025-08-09 02:58:25,credit_card,Visa,MX,00,Transaction approved,3.0,0.47,15.15,tablet,57.135.233.197,"Mozilla/5.0 (Windows 98) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/28.0.836.0 Safari/534.1",1,1666,True,6,tech,False,2025-08-11
TXN00000033,1523,574,42.21,BRL,declined,2025-09-29 03:56:34,ewallet,Clip,BR,54,Security violation,0.0,0.0,0.0,desktop,68.237.150.140,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/15.0.872.0 Safari/535.1",1,428,,1,utilities,False,
TXN00000036,7743,576,26.79,MXN,approved,2025-08-28 00:31:37,bank_transfer,PSE,MX,00,Transaction approved,1.85,0.5,26.29,mobile,216.85.190.211,Opera/8.96.(X11; Linux i686; eu-ES) Presto/2.9.160 Version/11.00,1,1924,,1,entertainment,False,2025-08-29
