transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,country,response_message
TXN00000001,6719,735,14.89,CLP,APPROVED,2025-08-10 04:43:55,DEBIT_CARD,CL,Transaction approved
TXN00000002,4754,465,14.29,MXN,APPROVED,2025-09-12 02:57:40,CREDIT_CARD,MX,Transaction approved
TXN00000004,9235,650,281.73,CLP,DECLINED,2025-09-01 21:37:44,DEBIT_CARD,CL,Security violation
TXN00000006,1380,918,24.15,MXN,APPROVED,2025-09-12 03:23:28,CREDIT_CARD,MX,Transaction approved
TXN00000009,2684,589,94.06,USD,APPROVED,2025-08-29 00:44:53,CREDIT_CARD,MX,Transaction approved
TXN00000011,3172,412,66.55,BRL,APPROVED,2025-08-04 04:26:46,CREDIT_CARD,BR,Transaction approved
TXN00000019,3821,602,140.6,COP,APPROVED,2025-10-18 04:39:30,CREDIT_CARD,CO,Transaction approved
TXN00000021,2120,926,7.16,BRL,APPROVED,2025-10-12 05:14:46,BANK_TRANSFER,BR,Transaction approved
TXN00000025,2047,285,139.19,USD,APPROVED,2025-08-18 00:12:57,BANK_TRANSFER,MX,Transaction approved
TXN00000032,8917,850,15.62,MXN,APPROVED,2025-08-10 03:39:26,CREDIT_CARD,MX,Transaction approved
TXN00000033,1523,574,42.21,BRL,DECLINED,2025-09-30 04:37:35,EWALLET,BR,Security violation
TXN00000036,7743,576,26.79,MXN,APPROVED,2025-08-29 01:12:38,BANK_TRANSFER,MX,Transaction approved
TXN00000046,8925,188,12.81,USD,APPROVED,2025-10-04 05:21:51,CREDIT_CARD,PE,Transaction approved
TXN00000051,5224,427,9.94,USD,APPROVED,2025-10-12 00:57:52,BANK_TRANSFER,BR,Transaction approved
TXN00000053,9249,40,157.75,MXN,APPROVED,2025-10-20 04:58:56,DEBIT_CARD,MX,Transaction approved
TXN00000056,5055,574,32.37,BRL,APPROVED,2025-08-17 03:31:51,DEBIT_CARD,BR,Transaction approved
TXN00000062,7597,297,25.79,BRL,DECLINED,2025-09-11 03:21:01,DEBIT_CARD,BR,Insufficient funds
TXN00000065,1024,781,189.47,COP,APPROVED,2025-10-21 03:50:52,DEBIT_CARD,CO,Transaction approved
TXN00000066,1770,938,33.66,CLP,APPROVED,2025-10-05 02:05:14,CREDIT_CARD,CL,Transaction approved
TXN00000071,3156,724,32.38,PEN,DECLINED,2025-08-31 23:11:43,CREDIT_CARD,PE,Security violation
TXN00000074,8922,304,8.12,COP,APPROVED,2025-10-04 02:39:26,DEBIT_CARD,CO,Transaction approved
TXN00000077,910,829,62.27,MXN,DECLINED,2025-09-21 03:51:15,DEBIT_CARD,MX,Exceeds withdrawal limit
TXN00000084,9281,556,11.93,COP,DECLINED,2025-08-12 01:24:14,EWALLET,CO,Expired card
TXN00000092,2745,767,133.01,MXN,APPROVED,2025-08-25 01:05:40,BANK_TRANSFER,MX,Transaction approved
TXN00000093,6321,649,19.13,USD,APPROVED,2025-09-09 00:51:27,CREDIT_CARD,AR,Transaction approved
TXN00000094,1301,36,23.26,USD,DECLINED,2025-08-20 14:54:10,DEBIT_CARD,PE,Security violation
TXN00000098,948,360,46.41,CLP,APPROVED,2025-10-14 00:09:11,CREDIT_CARD,CL,Transaction approved
TXN00000100,6220,173,76.86,COP,APPROVED,2025-09-07 02:03:45,CREDIT_CARD,CO,Transaction approved
